duration,radius,range,timeframe,n_hits,n_misses,n_false_alarms_inside,n_false_alarms_outside
3,200,100,10,0,9,1,4
3,200,700,10,5,4,27,65
3,200,1300,10,8,1,50,184
3,800,100,10,0,9,1,4
3,800,700,10,5,4,27,65
3,800,1300,10,8,1,50,209
3,1400,100,10,0,9,3,5
3,1400,700,10,5,4,37,253
3,1400,1300,10,8,1,78,1214
12,200,100,10,0,9,1,4
12,200,700,10,5,4,27,65
12,200,1300,10,8,1,50,184
12,800,100,10,0,9,1,4
12,800,700,10,5,4,27,65
12,800,1300,10,8,1,50,184
12,1400,100,10,0,9,4,5
12,1400,700,10,5,4,27,65
12,1400,1300,10,8,1,50,191
21,200,100,10,0,9,1,4
21,200,700,10,5,4,27,60
21,200,1300,10,8,1,50,174
21,800,100,10,0,9,1,4
21,800,700,10,5,4,27,60
21,800,1300,10,8,1,50,174
21,1400,100,10,0,9,3,4
21,1400,700,10,5,4,26,59
21,1400,1300,10,8,1,51,193
30,200,100,10,0,9,0,0
30,200,700,10,0,9,0,0
30,200,1300,10,0,9,0,0
30,800,100,10,0,9,0,0
30,800,700,10,0,9,0,0
30,800,1300,10,0,9,0,0
30,1400,100,10,0,9,0,0
30,1400,700,10,0,9,0,0
30,1400,1300,10,0,9,0,0
